ids,class
PMC32297,2
PMC32298,2
PMC32299,0
PMC32300,1
PMC32301,3
PMC32302,0
PMC32303,0
PMC32304,0
PMC32305,2
PMC32311,2
PMC32312,2
PMC32313,0
PMC32314,2
PMC33341,4
PMC33342,0
PMC33343,2
PMC33344,0
PMC33392,2
PMC33393,1
PMC33394,1
PMC33395,1
PMC33396,2
PMC33397,2
PMC33398,0
PMC33506,1
PMC33507,4
PMC33517,0
PMC33518,1
PMC33820,0
PMC34096,1
PMC34102,4
PMC34107,0
PMC34108,1
PMC34109,0
PMC34110,4
PMC34111,4
PMC34112,1
PMC34117,1
PMC34514,3
PMC34515,1
PMC34516,2
PMC34519,4
PMC34520,2
PMC34549,2
PMC34550,1
PMC34551,3
PMC34552,2
PMC34604,2
PMC34605,0
PMC34606,0
PMC34772,1
PMC35267,2
PMC35277,0
PMC35278,2
PMC35279,1
PMC35280,2
PMC35281,1
PMC35282,0
PMC35283,2
PMC35284,0
PMC35285,3
PMC35286,4
PMC35287,1
PMC35352,0
PMC35353,2
PMC35354,1
PMC35355,2
PMC35356,0
PMC35360,4
PMC35361,4
PMC35392,0
PMC37241,3
PMC37242,1
PMC37243,0
PMC37267,1
PMC37310,3
PMC37311,4
PMC37312,4
PMC37313,1
PMC37314,2
PMC37351,2
PMC37352,2
PMC37353,1
PMC37354,3
PMC37355,2
PMC37356,2
PMC37390,1
PMC37391,1
PMC37392,1
PMC37402,1
PMC37403,2
PMC37404,1
PMC37405,2
PMC37406,3
PMC37407,3
PMC37408,0
PMC37409,1
PMC37536,1
PMC37537,1
PMC37538,2
PMC37539,1
PMC37540,1
PMC37541,2
PMC37542,1
PMC37543,4
PMC37544,1
PMC37545,0
PMC37546,3
PMC37547,0
PMC37548,0
PMC45583,2
PMC45584,1
PMC45585,2
PMC45586,4
PMC48139,2
PMC48140,1
PMC48141,4
PMC48142,4
PMC48143,2
PMC48144,2
PMC48145,2
PMC48146,4
PMC48147,3
PMC48148,1
PMC48149,1
PMC48150,4
PMC48151,4
PMC48152,2
PMC48153,4
PMC55319,2
PMC55320,0
PMC55321,1
PMC55322,1
PMC55323,1
PMC55324,1
PMC55325,4
PMC55326,1
PMC55327,3
PMC55328,0
PMC55329,1
PMC55330,1
PMC55331,4
PMC55332,1
PMC55333,4
PMC55334,4
PMC55335,3
PMC55336,4
PMC55337,2
PMC55338,4
PMC55339,4
PMC55340,1
PMC55341,3
PMC55342,4
PMC55343,3
PMC55344,3
PMC55345,4
PMC55692,1
PMC55693,0
PMC55694,3
PMC56202,4
PMC56203,3
PMC56204,3
PMC56205,4
PMC56207,2
PMC56208,2
PMC56210,1
PMC56211,0
PMC56589,2
PMC56590,2
PMC56591,1
PMC56592,3
PMC56593,1
PMC56594,3
PMC56607,2
PMC56633,2
PMC56634,0
PMC56895,1
PMC56896,1
PMC56897,4
PMC56898,1
PMC56899,4
PMC56900,1
PMC56901,1
PMC56902,2
PMC56903,4
PMC56995,2
PMC56996,0
PMC56997,2
PMC56998,2
PMC56999,0
PMC57000,2
PMC57001,1
PMC57002,1
PMC57003,1
PMC57004,1
PMC57005,3
PMC57006,1
PMC57007,0
PMC57008,4
PMC57009,1
PMC57735,1
PMC57736,0
PMC57737,1
PMC57739,2
PMC57740,1
PMC57741,1
PMC57742,3
PMC57743,3
PMC57744,0
PMC57745,3
PMC57746,1
PMC57747,1
PMC57748,2
PMC57749,1
PMC57750,1
PMC57751,2
PMC57752,0
PMC57753,2
PMC57796,2
PMC57797,2
PMC57798,1
PMC57799,1
PMC57803,3
PMC57804,4
PMC57805,2
PMC57806,4
PMC57807,1
PMC57808,3
PMC57809,3
PMC57810,0
PMC57811,1
PMC57812,3
PMC57813,3
PMC57814,0
PMC57815,1
PMC57816,3
PMC57979,3
PMC57980,1
PMC57981,1
PMC57982,3
PMC58584,2
PMC58585,2
PMC58586,1
PMC58587,0
PMC58588,2
PMC58589,1
PMC58590,4
PMC58833,1
PMC58835,1
PMC58836,3
PMC58837,1
PMC58838,1
PMC58839,0
PMC59472,2
PMC59506,0
PMC59507,2
PMC59519,4
PMC59520,4
PMC59521,2
PMC59583,0
PMC59584,1
PMC59585,0
PMC59624,3
PMC59625,2
PMC59638,4
PMC59644,2
PMC59654,1
PMC59655,4
PMC59656,4
PMC59657,3
PMC59658,2
PMC59659,1
PMC59660,0
PMC59661,0
PMC59662,3
PMC59663,1
PMC59664,3
PMC59666,3
PMC59668,1
PMC59671,1
PMC59672,2
PMC59673,1
PMC59674,1
PMC59675,4
PMC59676,3
PMC59677,1
PMC59678,1
PMC59679,2
PMC59680,4
PMC59691,4
PMC59692,2
PMC59693,2
PMC59694,0
PMC59723,1
PMC59831,1
PMC59832,2
PMC59833,4
PMC59834,0
PMC59835,4
PMC59836,3
PMC59837,2
PMC59838,4
PMC59839,1
PMC59840,0
PMC59841,1
PMC59842,0
PMC59843,1
PMC59844,2
PMC59845,3
PMC59846,2
PMC59881,0
PMC59882,2
PMC59885,4
PMC59886,0
PMC59887,0
PMC59888,3
PMC59889,0
PMC59890,3
PMC59891,3
PMC59892,1
PMC59893,1
PMC59894,4
PMC59895,0
PMC59896,1
PMC59897,1
PMC59898,1
PMC59899,1
PMC59900,3
PMC59901,1
PMC59902,1
PMC59991,1
PMC59997,0
PMC59998,1
PMC59999,4
PMC60000,1
PMC60001,3
PMC60002,1
PMC60003,3
PMC60004,1
PMC60005,1
PMC60006,0
PMC60007,2
PMC60307,0
PMC60308,1
PMC60310,2
PMC60312,2
PMC60490,1
PMC60491,2
PMC60492,4
PMC60523,1
PMC60524,3
PMC60534,1
PMC60646,4
PMC60647,0
PMC60648,1
PMC60649,3
PMC60650,0
PMC60651,3
PMC60652,0
PMC60653,2
PMC60654,4
PMC60655,3
PMC60656,0
PMC60657,4
PMC60658,2
PMC60659,3
PMC60660,1
PMC60661,4
PMC60662,4
PMC60663,1
PMC60664,4
PMC60676,4
PMC60677,4
PMC60969,4
PMC60970,2
PMC60988,4
PMC60989,3
PMC60990,2
PMC60991,1
PMC60992,3
PMC60993,2
PMC60994,2
PMC60995,1
PMC60996,0
PMC60997,1
PMC60998,1
PMC60999,1
PMC61000,2
PMC61030,1
PMC61031,0
PMC61032,3
PMC61033,0
PMC61034,0
PMC61035,3
PMC61036,1
PMC61037,1
PMC61038,2
PMC61039,2
PMC61040,1
PMC61041,2
PMC61042,2
PMC61043,4
PMC61044,1
PMC61448,0
PMC61449,4
PMC61450,0
PMC64492,4
PMC64493,1
PMC64494,1
PMC64495,1
PMC64496,1
PMC64497,0
PMC64498,4
PMC64499,1
PMC64500,4
PMC64501,4
PMC64502,1
PMC64540,2
PMC64544,3
PMC64545,2
PMC64552,2
PMC64558,1
PMC64559,1
PMC64563,1
PMC64569,1
PMC64570,2
PMC64578,1
PMC64605,1
PMC64612,1
PMC64621,1
PMC64635,4
PMC64636,1
PMC64637,3
PMC64638,0
PMC64639,1
PMC64640,3
PMC64641,2
PMC64642,2
PMC64643,1
PMC64644,4
PMC64645,2
PMC64646,2
PMC64647,2
PMC64648,3
PMC64649,2
PMC64650,1
PMC64779,3
PMC64780,2
PMC64781,1
PMC64782,1
PMC64783,1
PMC64784,4
PMC64785,1
PMC64786,2
PMC64787,1
PMC64804,2
PMC64833,1
PMC64834,2
PMC64835,2
PMC64836,3
PMC64837,2
PMC64838,1
PMC64839,1
PMC64840,1
PMC65040,2
PMC65041,3
PMC65042,0
PMC65043,2
PMC65044,2
PMC65045,1
PMC65046,2
PMC65047,3
PMC65048,1
PMC65049,1
PMC65051,1
PMC65052,3
PMC65053,0
PMC65099,1
PMC65507,1
PMC65508,4
PMC65509,2
PMC65510,2
PMC65511,4
PMC65512,0
PMC65513,2
PMC65514,2
PMC65515,3
PMC65516,1
PMC65517,1
PMC65518,4
PMC65519,1
PMC65520,2
PMC65521,0
PMC65522,1
PMC65523,3
PMC65524,3
PMC65525,1
PMC65526,4
PMC65527,1
PMC65528,3
PMC65529,1
PMC65540,3
PMC65541,2
PMC65542,3
PMC65543,2
PMC65544,4
PMC65545,0
PMC65546,0
PMC65547,2
PMC65548,1
PMC65549,4
PMC65550,3
PMC65598,1
PMC65599,3
PMC65631,4
PMC65632,1
PMC65633,1
PMC65634,2
PMC65674,2
PMC65675,3
PMC65676,3
PMC65677,1
PMC65678,3
PMC65679,0
PMC65680,0
PMC65681,1
PMC65682,2
PMC65683,2
PMC65684,1
PMC65685,1
PMC65686,0
PMC65687,1
PMC65688,1
PMC65689,2
PMC65690,1
PMC65691,1
PMC65692,4
PMC65694,1
PMC65695,0
PMC65696,1
PMC65697,2
PMC65698,0
PMC65699,3
PMC65700,3
PMC65701,2
PMC65702,1
PMC65703,3
PMC65704,1
PMC77373,3
PMC77393,1
PMC77394,4
PMC77401,3
PMC77410,1
PMC77411,1
PMC77412,1
PMC77420,1
PMC78999,2
PMC79000,4
PMC79001,2
PMC79674,2
PMC80153,3
PMC80154,1
PMC83847,4
PMC83848,4
PMC83849,1
PMC83850,2
PMC83852,1
PMC83853,2
PMC83854,3
PMC83855,4
PMC83856,4
PMC83857,3
PMC83858,3
PMC83859,3
PMC84630,4
PMC88809,0
PMC88810,2
PMC88811,1
PMC88812,1
PMC88882,4
PMC88883,3
PMC88884,2
PMC88885,1
PMC88886,1
PMC88955,2
PMC88964,1
PMC88976,0
PMC88995,1
PMC88996,3
PMC88998,1
PMC89010,3
PMC90187,1
PMC96124,3
PMC99044,3
PMC99045,1
PMC99046,1
PMC99047,1
PMC99048,1
PMC99049,2
PMC99050,0
PMC99051,3
